Iteration,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9,Run-10,Run-11,Run-12,Run-13,Run-14,Run-15,Run-16,Run-17,Run-18,Run-19,Run-20,Run-21,Run-22,Run-23,Run-24,Run-25,Run-26,Run-27,Run-28,Run-29
61,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
62,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
63,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
64,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
65,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
66,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
67,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
68,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
69,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
70,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
71,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
72,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
73,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
74,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
75,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
76,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
77,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
78,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
79,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
